country,region,theme,improvement,foa,int_outcome,foa_nlo1_effectiveness,when_int_outcome,achieved_int_outcome
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Upgraded institutions,Detection and control of major insect pests of Agricultural and Veterinary importance,2020-2023,1
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Curricula in new professions,Food safety and quality for protection of consumers,N/A,0
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Develop regulatory frameworks,Food safety and quality for protection of consumers,2000-2004,1
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Introduce new technologies,Food safety and quality for protection of consumers,2000-2004,1
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Produce data to inform policies,Food safety and quality for protection of consumers,2010-2014,1
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Upgraded institutions,Food safety and quality for protection of consumers,2005-2009,1
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Curricula in new professions,Sustainable animal production/livestock productivity,N/A,0
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Develop regulatory frameworks,Sustainable animal production/livestock productivity,N/A,0
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Introduce new technologies,Sustainable animal production/livestock productivity,N/A,0
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Produce data to inform policies,Sustainable animal production/livestock productivity,N/A,0
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Upgraded institutions,Sustainable animal production/livestock productivity,N/A,0
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Curricula in new professions,Agricultural soil water and crop nutrition management,N/A,0
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Develop regulatory frameworks,Agricultural soil water and crop nutrition management,2020-2023,1
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Introduce new technologies,Agricultural soil water and crop nutrition management,2020-2023,1
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Produce data to inform policies,Agricultural soil water and crop nutrition management,2020-2023,1
Dominican Republic,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Upgraded institutions,Agricultural soil water and crop nutrition management,2020-2023,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Curricula in new professions,Detection and control of major insect pests including zoonotic diseases affecting human health,N/A,0
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Develop regulatory frameworks,Detection and control of major insect pests including zoonotic diseases affecting human health,2015-2019,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Introduce new technologies,Detection and control of major insect pests including zoonotic diseases affecting human health,2015-2019,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Produce data to inform policies,Detection and control of major insect pests including zoonotic diseases affecting human health,2020-2023,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Upgraded institutions,Detection and control of major insect pests including zoonotic diseases affecting human health,2020-2023,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Curricula in new professions,Effectiveness of nutrition programmes interventions,N/A,0
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Develop regulatory frameworks,Effectiveness of nutrition programmes interventions,2005-2009,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Introduce new technologies,Effectiveness of nutrition programmes interventions,2000-2004,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Produce data to inform policies,Effectiveness of nutrition programmes interventions,2010-2014,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Upgraded institutions,Effectiveness of nutrition programmes interventions,2005-2009,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Curricula in new professions,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,N/A,0
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Develop regulatory frameworks,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2010-2014,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Introduce new technologies,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2010-2014,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Produce data to inform policies,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2020-2023,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Upgraded institutions,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2015-2019,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Curricula in new professions,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,2015-2019,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Develop regulatory frameworks,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,< 2000,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Introduce new technologies,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,< 2000,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Produce data to inform policies,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,2010-2014,1
Dominican Republic,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Upgraded institutions,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,2000-2004,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Curricula in new professions,Mutated crops with increased productivity and/or climate resilience properties,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Develop regulatory frameworks,Mutated crops with increased productivity and/or climate resilience properties,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Introduce new technologies,Mutated crops with increased productivity and/or climate resilience properties,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Produce data to inform policies,Mutated crops with increased productivity and/or climate resilience properties,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Upgraded institutions,Mutated crops with increased productivity and/or climate resilience properties,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Curricula in new professions,Detection and control of major insect pests of Agricultural and Veterinary importance,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Develop regulatory frameworks,Detection and control of major insect pests of Agricultural and Veterinary importance,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Introduce new technologies,Detection and control of major insect pests of Agricultural and Veterinary importance,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Produce data to inform policies,Detection and control of major insect pests of Agricultural and Veterinary importance,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Upgraded institutions,Detection and control of major insect pests of Agricultural and Veterinary importance,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Curricula in new professions,Food safety and quality for protection of consumers,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Develop regulatory frameworks,Food safety and quality for protection of consumers,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Introduce new technologies,Food safety and quality for protection of consumers,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Produce data to inform policies,Food safety and quality for protection of consumers,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Upgraded institutions,Food safety and quality for protection of consumers,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Curricula in new professions,Sustainable animal production/livestock productivity,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Develop regulatory frameworks,Sustainable animal production/livestock productivity,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Introduce new technologies,Sustainable animal production/livestock productivity,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Produce data to inform policies,Sustainable animal production/livestock productivity,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Upgraded institutions,Sustainable animal production/livestock productivity,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Curricula in new professions,Agricultural soil water and crop nutrition management,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Develop regulatory frameworks,Agricultural soil water and crop nutrition management,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Introduce new technologies,Agricultural soil water and crop nutrition management,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Produce data to inform policies,Agricultural soil water and crop nutrition management,2020-2023,1
Ecuador,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Upgraded institutions,Agricultural soil water and crop nutrition management,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Curricula in new professions,Detection and control of major insect pests including zoonotic diseases affecting human health,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Develop regulatory frameworks,Detection and control of major insect pests including zoonotic diseases affecting human health,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Introduce new technologies,Detection and control of major insect pests including zoonotic diseases affecting human health,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Produce data to inform policies,Detection and control of major insect pests including zoonotic diseases affecting human health,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Insect pest control,Upgraded institutions,Detection and control of major insect pests including zoonotic diseases affecting human health,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Curricula in new professions,Effectiveness of nutrition programmes interventions,N/A,0
Ecuador,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Develop regulatory frameworks,Effectiveness of nutrition programmes interventions,N/A,0
Ecuador,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Introduce new technologies,Effectiveness of nutrition programmes interventions,N/A,0
Ecuador,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Produce data to inform policies,Effectiveness of nutrition programmes interventions,N/A,0
Ecuador,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Upgraded institutions,Effectiveness of nutrition programmes interventions,N/A,0
Ecuador,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Curricula in new professions,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Develop regulatory frameworks,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Introduce new technologies,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Produce data to inform policies,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Upgraded institutions,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Curricula in new professions,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Develop regulatory frameworks,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,2015-2019,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Introduce new technologies,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,2015-2019,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Produce data to inform policies,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,2020-2023,1
Ecuador,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Nuclear medicine and diagnostic imaging,Upgraded institutions,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Accelerator technology,Curricula in new professions,Efficiency productivity quality and safety across industries using nuclear technologies,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Accelerator technology,Develop regulatory frameworks,Efficiency productivity quality and safety across industries using nuclear technologies,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Accelerator technology,Introduce new technologies,Efficiency productivity quality and safety across industries using nuclear technologies,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Accelerator technology,Produce data to inform policies,Efficiency productivity quality and safety across industries using nuclear technologies,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Accelerator technology,Upgraded institutions,Efficiency productivity quality and safety across industries using nuclear technologies,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reference products for science and trade,Curricula in new professions,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reference products for science and trade,Develop regulatory frameworks,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reference products for science and trade,Introduce new technologies,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reference products for science and trade,Produce data to inform policies,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reference products for science and trade,Upgraded institutions,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,2020-2023,1
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Safe and effective utilization, operation, and maintenance of research reactors",Research reactors,Curricula in new professions,Safe and effective utilization operation and maintenance of research reactors,N/A,0
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Safe and effective utilization, operation, and maintenance of research reactors",Research reactors,Develop regulatory frameworks,Safe and effective utilization operation and maintenance of research reactors,N/A,0
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Safe and effective utilization, operation, and maintenance of research reactors",Research reactors,Introduce new technologies,Safe and effective utilization operation and maintenance of research reactors,N/A,0
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Safe and effective utilization, operation, and maintenance of research reactors",Research reactors,Produce data to inform policies,Safe and effective utilization operation and maintenance of research reactors,N/A,0
Ecuador,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Safe and effective utilization, operation, and maintenance of research reactors",Research reactors,Upgraded institutions,Safe and effective utilization operation and maintenance of research reactors,N/A,0
Ecuador,Latin America and the Caribbean,Safety and Security,Effective emergency preparedness & response,Emergency preparednes and response,Curricula in new professions,Establish emergency preparedness & response,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Effective emergency preparedness & response,Emergency preparednes and response,Develop regulatory frameworks,Establish emergency preparedness & response,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Effective emergency preparedness & response,Emergency preparednes and response,Introduce new technologies,Establish emergency preparedness & response,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Effective emergency preparedness & response,Emergency preparednes and response,Produce data to inform policies,Establish emergency preparedness & response,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Effective emergency preparedness & response,Emergency preparednes and response,Upgraded institutions,Establish emergency preparedness & response,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Effective radioactive waste management, decommissioning and remediation of contaminated sites.","Radioactive waste management, decommissioning and environmental remediation",Curricula in new professions,Radioactive waste management,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Effective radioactive waste management, decommissioning and remediation of contaminated sites.","Radioactive waste management, decommissioning and environmental remediation",Develop regulatory frameworks,Radioactive waste management,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Effective radioactive waste management, decommissioning and remediation of contaminated sites.","Radioactive waste management, decommissioning and environmental remediation",Introduce new technologies,Radioactive waste management,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Effective radioactive waste management, decommissioning and remediation of contaminated sites.","Radioactive waste management, decommissioning and environmental remediation",Produce data to inform policies,Radioactive waste management,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Effective radioactive waste management, decommissioning and remediation of contaminated sites.","Radioactive waste management, decommissioning and environmental remediation",Upgraded institutions,Radioactive waste management,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,Governtmental and regulatry infrastructure for nuclear installations safety,Curricula in new professions,Establish governmental and regulatory infrastructure to ensure nuclear and radiation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,Governtmental and regulatry infrastructure for nuclear installations safety,Develop regulatory frameworks,Establish governmental and regulatory infrastructure to ensure nuclear and radiation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,Governtmental and regulatry infrastructure for nuclear installations safety,Introduce new technologies,Establish governmental and regulatory infrastructure to ensure nuclear and radiation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,Governtmental and regulatry infrastructure for nuclear installations safety,Produce data to inform policies,Establish governmental and regulatory infrastructure to ensure nuclear and radiation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,Governtmental and regulatry infrastructure for nuclear installations safety,Upgraded institutions,Establish governmental and regulatory infrastructure to ensure nuclear and radiation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Nuclear installations and fuel cycle facilities safety,Safety of nuclear installations,Curricula in new professions,Ensure nuclear installation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Nuclear installations and fuel cycle facilities safety,Safety of nuclear installations,Develop regulatory frameworks,Ensure nuclear installation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Nuclear installations and fuel cycle facilities safety,Safety of nuclear installations,Introduce new technologies,Ensure nuclear installation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Nuclear installations and fuel cycle facilities safety,Safety of nuclear installations,Produce data to inform policies,Ensure nuclear installation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,Nuclear installations and fuel cycle facilities safety,Safety of nuclear installations,Upgraded institutions,Ensure nuclear installation safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Radiation protection of workers, patients, public and environment.",Radiation protection of workers and public,Curricula in new professions,Radiation protection o fworkers patients the public and the environment,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Radiation protection of workers, patients, public and environment.",Radiation protection of workers and public,Develop regulatory frameworks,Radiation protection o fworkers patients the public and the environment,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Radiation protection of workers, patients, public and environment.",Radiation protection of workers and public,Introduce new technologies,Radiation protection o fworkers patients the public and the environment,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Radiation protection of workers, patients, public and environment.",Radiation protection of workers and public,Produce data to inform policies,Radiation protection o fworkers patients the public and the environment,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Radiation protection of workers, patients, public and environment.",Radiation protection of workers and public,Upgraded institutions,Radiation protection o fworkers patients the public and the environment,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Safe use, storage and transport, of nuclear and radioactive materials.",Transport safety,Curricula in new professions,Ensure transport safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Safe use, storage and transport, of nuclear and radioactive materials.",Transport safety,Develop regulatory frameworks,Ensure transport safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Safe use, storage and transport, of nuclear and radioactive materials.",Transport safety,Introduce new technologies,Ensure transport safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Safe use, storage and transport, of nuclear and radioactive materials.",Transport safety,Produce data to inform policies,Ensure transport safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Safety and Security,"Safe use, storage and transport, of nuclear and radioactive materials.",Transport safety,Upgraded institutions,Ensure transport safety,2020-2023,1
Ecuador,Latin America and the Caribbean,Water and the Environment,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics","Marine, terrestrial and coastal environments",Curricula in new professions,Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,2020-2023,1
Ecuador,Latin America and the Caribbean,Water and the Environment,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics","Marine, terrestrial and coastal environments",Develop regulatory frameworks,Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,2020-2023,1
Ecuador,Latin America and the Caribbean,Water and the Environment,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics","Marine, terrestrial and coastal environments",Introduce new technologies,Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,2015-2019,1
Ecuador,Latin America and the Caribbean,Water and the Environment,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics","Marine, terrestrial and coastal environments",Produce data to inform policies,Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,2020-2023,1
Ecuador,Latin America and the Caribbean,Water and the Environment,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics","Marine, terrestrial and coastal environments",Upgraded institutions,Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,2020-2023,1
Ecuador,Latin America and the Caribbean,Water and the Environment,Sustainable water resources management,Water resources management,Curricula in new professions,Sustainable land and water management practices for agriculture and freshwater resources,2020-2023,1
Ecuador,Latin America and the Caribbean,Water and the Environment,Sustainable water resources management,Water resources management,Develop regulatory frameworks,Sustainable land and water management practices for agriculture and freshwater resources,2015-2019,1
Ecuador,Latin America and the Caribbean,Water and the Environment,Sustainable water resources management,Water resources management,Introduce new technologies,Sustainable land and water management practices for agriculture and freshwater resources,2015-2019,1
Ecuador,Latin America and the Caribbean,Water and the Environment,Sustainable water resources management,Water resources management,Produce data to inform policies,Sustainable land and water management practices for agriculture and freshwater resources,2020-2023,1
Ecuador,Latin America and the Caribbean,Water and the Environment,Sustainable water resources management,Water resources management,Upgraded institutions,Sustainable land and water management practices for agriculture and freshwater resources,2020-2023,1
Egypt,Africa,Energy,Energy planning and inform policies to meet future energy needs,Energy planning,Curricula in new professions,Energy planning and inform policies to meet future energy needs,,0
