interview__id,theme,dev_reason,region,foa,improvement,tcp_contribution,period,value,status,shrinked
b8314dd5129a4e009cab2369dcf1f7f2,Water and the Environment,,Latin America and the Caribbean,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
b8d513b85fd1450bb19423c2ebb8f5a7,Health and Nutrition,,Latin America and the Caribbean,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,1.To some extent,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
b8d513b85fd1450bb19423c2ebb8f5a7,Health and Nutrition,,Latin America and the Caribbean,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,1.To some extent,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
bb2c5ac35a0843f9965dd3377204df5e,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
bb2c5ac35a0843f9965dd3377204df5e,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
bb2c5ac35a0843f9965dd3377204df5e,Safety and Security,,Africa,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
bb2c5ac35a0843f9965dd3377204df5e,Safety and Security,,Africa,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
bccc6fd265f34cea9e492e3d405a64a4,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",1.To some extent,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
bccc6fd265f34cea9e492e3d405a64a4,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",1.To some extent,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
bd6c31a701304941852643c0747be47d,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
bd6c31a701304941852643c0747be47d,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
bd6c31a701304941852643c0747be47d,Food and Agriculture,,Africa,Agricultural water and soil management,"Sustainable, soil and water management practices for agriculture",3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
bd6c31a701304941852643c0747be47d,Food and Agriculture,,Africa,Agricultural water and soil management,"Sustainable, soil and water management practices for agriculture",3.Impossible without TCP,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
c0540ec53b6e49a998b343c876604417,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
c0540ec53b6e49a998b343c876604417,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
c2ee3c9f31974343ac54adc4db7f1bef,Food and Agriculture,,Latin America and the Caribbean,Livestock production,Sustainable animal production/livestock productivity,,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
c2ee3c9f31974343ac54adc4db7f1bef,Food and Agriculture,,Latin America and the Caribbean,Livestock production,Sustainable animal production/livestock productivity,,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
c2ee3c9f31974343ac54adc4db7f1bef,Food and Agriculture,,Latin America and the Caribbean,Insect pest control,Detection and control of major insect pests of Agricultural and Veterinary importance,,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
c2ee3c9f31974343ac54adc4db7f1bef,Food and Agriculture,,Latin America and the Caribbean,Insect pest control,Detection and control of major insect pests of Agricultural and Veterinary importance,,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
c4f7b25370514cc7b3860387c89bf30d,Safety and Security,,Africa,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",3.Impossible without TCP,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
c4f7b25370514cc7b3860387c89bf30d,Safety and Security,,Africa,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
c4f7b25370514cc7b3860387c89bf30d,Safety and Security,,Africa,Transport safety,"Safe use, storage and transport, of nuclear and radioactive materials.",3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
c4f7b25370514cc7b3860387c89bf30d,Safety and Security,,Africa,Transport safety,"Safe use, storage and transport, of nuclear and radioactive materials.",3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
c64b76a5b8bd4bde931f050f7e8bbb18,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
c64b76a5b8bd4bde931f050f7e8bbb18,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
ca5373aa98034cd4bfdb617769e9e8a6,Food and Agriculture,,Latin America and the Caribbean,Crop production,Crops with increased productivity and/or climate resilience properties,2.Contributed substantially,Before TCP,No capacity,0.No Capacity,Improved
ca5373aa98034cd4bfdb617769e9e8a6,Food and Agriculture,,Latin America and the Caribbean,Crop production,Crops with increased productivity and/or climate resilience properties,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
ca5373aa98034cd4bfdb617769e9e8a6,Food and Agriculture,,Latin America and the Caribbean,Food safety,Food safety and quality control,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
ca5373aa98034cd4bfdb617769e9e8a6,Food and Agriculture,,Latin America and the Caribbean,Food safety,Food safety and quality control,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
d3f2434c768c400c9482a24c0dc5eb34,Food and Agriculture,,Latin America and the Caribbean,Food safety,Food safety and quality control,2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
d3f2434c768c400c9482a24c0dc5eb34,Food and Agriculture,,Latin America and the Caribbean,Food safety,Food safety and quality control,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
d6669a41a0754e77a652962ec55fa28d,Safety and Security,,Europe,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
d6669a41a0754e77a652962ec55fa28d,Safety and Security,,Europe,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
d6669a41a0754e77a652962ec55fa28d,Safety and Security,,Europe,Safety of nuclear installations,Nuclear installations and fuel cycle facilities safety,,Before TCP,No capacity,0.No Capacity,Improved
d6669a41a0754e77a652962ec55fa28d,Safety and Security,,Europe,Safety of nuclear installations,Nuclear installations and fuel cycle facilities safety,,2023,No capacity,0.No Capacity,Improved
e1880170a8564d31a83c0eefed9cc329,Water and the Environment,,Africa,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
e1880170a8564d31a83c0eefed9cc329,Water and the Environment,,Africa,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
ec7225a04da244bd8ed0867c0071090b,Food and Agriculture,,Latin America and the Caribbean,Agricultural water and soil management,"Sustainable, soil and water management practices for agriculture",2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
ec7225a04da244bd8ed0867c0071090b,Food and Agriculture,,Latin America and the Caribbean,Agricultural water and soil management,"Sustainable, soil and water management practices for agriculture",2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
ed6952db768249ff853486be0933182a,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",1.To some extent,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
ed6952db768249ff853486be0933182a,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",1.To some extent,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
edb5007a8899476fb48ed516eae5a344,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
edb5007a8899476fb48ed516eae5a344,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
f13c58b70efa40dd8be97c17f461b956,Safety and Security,,Latin America and the Caribbean,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,Before TCP,No capacity,0.No Capacity,Improved
f13c58b70efa40dd8be97c17f461b956,Safety and Security,,Latin America and the Caribbean,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
f13c58b70efa40dd8be97c17f461b956,Safety and Security,,Latin America and the Caribbean,Transport safety,"Safe use, storage and transport, of nuclear and radioactive materials.",1.To some extent,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
f13c58b70efa40dd8be97c17f461b956,Safety and Security,,Latin America and the Caribbean,Transport safety,"Safe use, storage and transport, of nuclear and radioactive materials.",1.To some extent,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
f899d8d3b3064f69b02f6e5073bff6d6,Food and Agriculture,,Latin America and the Caribbean,Food safety,Food safety and quality control,2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
f899d8d3b3064f69b02f6e5073bff6d6,Food and Agriculture,,Latin America and the Caribbean,Food safety,Food safety and quality control,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
fc14ddb0fe1f4e5aa6858aca919e9955,Safety and Security,,Latin America and the Caribbean,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
fc14ddb0fe1f4e5aa6858aca919e9955,Safety and Security,,Latin America and the Caribbean,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
fc14ddb0fe1f4e5aa6858aca919e9955,Safety and Security,,Latin America and the Caribbean,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
fc14ddb0fe1f4e5aa6858aca919e9955,Safety and Security,,Latin America and the Caribbean,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
fe3c7b4383344c53ac53b9568bf15d24,Safety and Security,,Europe,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
fe3c7b4383344c53ac53b9568bf15d24,Safety and Security,,Europe,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
fe3c7b4383344c53ac53b9568bf15d24,Safety and Security,,Europe,"Radioactive waste management, decommissioning and environmental remediation","Effective radioactive waste management, decommissioning and remediation of contaminated sites.",3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
fe3c7b4383344c53ac53b9568bf15d24,Safety and Security,,Europe,"Radioactive waste management, decommissioning and environmental remediation","Effective radioactive waste management, decommissioning and remediation of contaminated sites.",3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
6b674deeb6ad45fe91bacf4fa3d40a06,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,1.To some extent,Before TCP,No capacity,0.No Capacity,Improved
6b674deeb6ad45fe91bacf4fa3d40a06,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,1.To some extent,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
6b674deeb6ad45fe91bacf4fa3d40a06,Safety and Security,,Africa,Emergency preparednes and response,Effective emergency preparedness & response,,Before TCP,No capacity,0.No Capacity,Improved
6b674deeb6ad45fe91bacf4fa3d40a06,Safety and Security,,Africa,Emergency preparednes and response,Effective emergency preparedness & response,,2023,No capacity,0.No Capacity,Improved
71b3c5106e294d368f995b1b237ae187,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
71b3c5106e294d368f995b1b237ae187,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
71b3c5106e294d368f995b1b237ae187,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Reference products for science and trade,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
71b3c5106e294d368f995b1b237ae187,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Reference products for science and trade,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
ababa7000ed64c62b9e7a18ca4290ad3,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
ababa7000ed64c62b9e7a18ca4290ad3,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
ababa7000ed64c62b9e7a18ca4290ad3,Health and Nutrition,,Africa,Nutrition for improved health,Effective evidenced-based nutrition programming,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
ababa7000ed64c62b9e7a18ca4290ad3,Health and Nutrition,,Africa,Nutrition for improved health,Effective evidenced-based nutrition programming,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
e34f3a7793074bb3bb1168b0191314e3,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
e34f3a7793074bb3bb1168b0191314e3,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
038a9509d8e14e128ffa5e28832bbe1d,Water and the Environment,,Asia and the Pacific,Water resources management,Sustainable water resources management,,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
038a9509d8e14e128ffa5e28832bbe1d,Water and the Environment,,Asia and the Pacific,Water resources management,Sustainable water resources management,,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
038a9509d8e14e128ffa5e28832bbe1d,Water and the Environment,,Asia and the Pacific,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
038a9509d8e14e128ffa5e28832bbe1d,Water and the Environment,,Asia and the Pacific,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
1766c915631946b2854b56816589ac8d,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,0.Did not contribute,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
1766c915631946b2854b56816589ac8d,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,0.Did not contribute,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
2e78d5c6c9644ea4b66bad4c5865152d,Food and Agriculture,,Latin America and the Caribbean,Crop production,Crops with increased productivity and/or climate resilience properties,1.To some extent,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
2e78d5c6c9644ea4b66bad4c5865152d,Food and Agriculture,,Latin America and the Caribbean,Crop production,Crops with increased productivity and/or climate resilience properties,1.To some extent,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
2e78d5c6c9644ea4b66bad4c5865152d,Food and Agriculture,,Latin America and the Caribbean,Agricultural water and soil management,"Sustainable, soil and water management practices for agriculture",,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
2e78d5c6c9644ea4b66bad4c5865152d,Food and Agriculture,,Latin America and the Caribbean,Agricultural water and soil management,"Sustainable, soil and water management practices for agriculture",,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
33822bcb7d244f4fa5570e75e2176017,Food and Agriculture,,Africa,Livestock production,Sustainable animal production/livestock productivity,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
33822bcb7d244f4fa5570e75e2176017,Food and Agriculture,,Africa,Livestock production,Sustainable animal production/livestock productivity,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
4bc7664918344792ad1e34b8ddd1a53a,Safety and Security,,Europe,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
4bc7664918344792ad1e34b8ddd1a53a,Safety and Security,,Europe,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
4bc7664918344792ad1e34b8ddd1a53a,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
4bc7664918344792ad1e34b8ddd1a53a,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
5769e128255845e9a5362916e98980e0,Food and Agriculture,,Asia and the Pacific,Insect pest control,Detection and control of major insect pests of Agricultural and Veterinary importance,,Before TCP,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
5769e128255845e9a5362916e98980e0,Food and Agriculture,,Asia and the Pacific,Insect pest control,Detection and control of major insect pests of Agricultural and Veterinary importance,,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
1f9b462b50f642f9acd6956bc29df71a,Health and Nutrition,,Europe,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
1f9b462b50f642f9acd6956bc29df71a,Health and Nutrition,,Europe,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
579822086d6e4383b44b2c32f5af17c8,Food and Agriculture,,Africa,Food safety,Food safety and quality control,2.Contributed substantially,Before TCP,No capacity,0.No Capacity,Improved
579822086d6e4383b44b2c32f5af17c8,Food and Agriculture,,Africa,Food safety,Food safety and quality control,2.Contributed substantially,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
587273f4869944d6a67edffe6302d834,Water and the Environment,,Latin America and the Caribbean,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,Before TCP,No capacity,0.No Capacity,Improved
587273f4869944d6a67edffe6302d834,Water and the Environment,,Latin America and the Caribbean,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,2023,No capacity,0.No Capacity,Improved
5b3cdd9eb381469cb48a3d020739eace,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",3.Impossible without TCP,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
5b3cdd9eb381469cb48a3d020739eace,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
5fd8f8488349468ba59cb141445c346b,Food and Agriculture,,Europe,Livestock production,Sustainable animal production/livestock productivity,2.Contributed substantially,Before TCP,No capacity,0.No Capacity,Improved
5fd8f8488349468ba59cb141445c346b,Food and Agriculture,,Europe,Livestock production,Sustainable animal production/livestock productivity,2.Contributed substantially,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
6e2ce56d9d294094a25ae4c02b57f793,Food and Agriculture,,Africa,Livestock production,Sustainable animal production/livestock productivity,3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
6e2ce56d9d294094a25ae4c02b57f793,Food and Agriculture,,Africa,Livestock production,Sustainable animal production/livestock productivity,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
6f39b198e1d545f48e6886c0b6be5db1,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
6f39b198e1d545f48e6886c0b6be5db1,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
6f39b198e1d545f48e6886c0b6be5db1,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
6f39b198e1d545f48e6886c0b6be5db1,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
716990064c664927a755533a878eab26,Water and the Environment,,Asia and the Pacific,Water resources management,Sustainable water resources management,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
716990064c664927a755533a878eab26,Water and the Environment,,Asia and the Pacific,Water resources management,Sustainable water resources management,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
716990064c664927a755533a878eab26,Water and the Environment,,Asia and the Pacific,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
716990064c664927a755533a878eab26,Water and the Environment,,Asia and the Pacific,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
777bf7636b154585babe6b7bd3f2096d,Health and Nutrition,,Asia and the Pacific,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
777bf7636b154585babe6b7bd3f2096d,Health and Nutrition,,Asia and the Pacific,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
777bf7636b154585babe6b7bd3f2096d,Health and Nutrition,,Asia and the Pacific,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
777bf7636b154585babe6b7bd3f2096d,Health and Nutrition,,Asia and the Pacific,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
7dbcccc7fdc648fcabd728fec4fc4579,Food and Agriculture,,Asia and the Pacific,Livestock production,Sustainable animal production/livestock productivity,2.Contributed substantially,Before TCP,No capacity,0.No Capacity,Improved
7dbcccc7fdc648fcabd728fec4fc4579,Food and Agriculture,,Asia and the Pacific,Livestock production,Sustainable animal production/livestock productivity,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
7e602e835d1a49b3b80bc388129f69df,Industrial Applications/Radiation technology,,Europe,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
7e602e835d1a49b3b80bc388129f69df,Industrial Applications/Radiation technology,,Europe,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
801879421250437c974115c041d2477e,Safety and Security,,Asia and the Pacific,Transport safety,"Safe use, storage and transport, of nuclear and radioactive materials.",2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
801879421250437c974115c041d2477e,Safety and Security,,Asia and the Pacific,Transport safety,"Safe use, storage and transport, of nuclear and radioactive materials.",2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
