sustain,value_sus,mechanism,region,theme,value,total,prop_sus,prop
Join Global data Networks,0,Produce new data,Europe,Health and Nutrition,0,89,0.333333333333333,0.444976076555024
More professionals in the workforce,0,Establish curricula in new profession,Europe,Health and Nutrition,1,89,1,0.183673469387755
National programmes promoting new technology,0,Introduce new technologies,Europe,Health and Nutrition,0,89,0.338028169014085,0.717948717948718
Procedures in alignment with international best practices,0,Improve quality of procedures,Europe,Health and Nutrition,0,89,0.96078431372549,0.805369127516778
Safety and security issues are given high priority,0,Develop regulatory frameworks,Europe,Health and Nutrition,0,89,,0
The support has not been consolidated yet,0,Develop new protocols,Europe,Health and Nutrition,1,53,0.0108695652173913,0.6625
The support has not been consolidated yet,0,Establish curricula in new profession,Europe,Health and Nutrition,1,9,0,0.183673469387755
The support has not been consolidated yet,0,Improve quality of procedures,Europe,Health and Nutrition,1,60,0.0392156862745098,0.805369127516778
The support has not been consolidated yet,0,Introduce new technologies,Europe,Health and Nutrition,1,56,0.0140845070422535,0.717948717948718
The support has not been consolidated yet,0,Produce new data,Europe,Health and Nutrition,1,31,0.0833333333333333,0.444976076555024
The support has not been consolidated yet,0,Support professionalization,Europe,Health and Nutrition,1,73,0.13953488372093,0.901234567901234
Use of Data to inform policies,0,Produce new data,Europe,Health and Nutrition,0,89,0.583333333333333,0.444976076555024
Creation of new Institution,0,Develop new protocols,Europe,Industrial Applications/Radiation technology,0,33,0.206896551724138,0.556521739130435
Delivery of regulatory activities,0,Develop regulatory frameworks,Europe,Industrial Applications/Radiation technology,0,33,,0
Development of education programmes,1,Support professionalization,Europe,Industrial Applications/Radiation technology,1,33,0.875,0.754716981132076
Improve quality of services,0,Develop new protocols,Europe,Industrial Applications/Radiation technology,0,33,0.448275862068966,0.556521739130435
Improve technical Standards,0,Develop new protocols,Europe,Industrial Applications/Radiation technology,0,33,0.310344827586207,0.556521739130435
Increased use of a new technology,0,Introduce new technologies,Europe,Industrial Applications/Radiation technology,0,33,0.65625,0.75
Join Global data Networks,0,Produce new data,Europe,Industrial Applications/Radiation technology,0,33,0.5,0.36
More professionals in the workforce,0,Establish curricula in new profession,Europe,Industrial Applications/Radiation technology,0,33,0.888888888888889,0.263157894736842
National programmes promoting new technology,0,Introduce new technologies,Europe,Industrial Applications/Radiation technology,0,33,0.3125,0.75
Procedures in alignment with international best practices,0,Improve quality of procedures,Europe,Industrial Applications/Radiation technology,0,33,1,0.705882352941177
Safety and security issues are given high priority,0,Develop regulatory frameworks,Europe,Industrial Applications/Radiation technology,0,33,,0
The support has not been consolidated yet,0,Develop new protocols,Europe,Industrial Applications/Radiation technology,1,16,0.0344827586206897,0.556521739130435
The support has not been consolidated yet,0,Establish curricula in new profession,Europe,Industrial Applications/Radiation technology,1,5,0.111111111111111,0.263157894736842
The support has not been consolidated yet,0,Improve quality of procedures,Europe,Industrial Applications/Radiation technology,1,18,0,0.705882352941177
The support has not been consolidated yet,0,Introduce new technologies,Europe,Industrial Applications/Radiation technology,1,22,0.03125,0.75
The support has not been consolidated yet,0,Produce new data,Europe,Industrial Applications/Radiation technology,1,9,0.125,0.36
The support has not been consolidated yet,0,Support professionalization,Europe,Industrial Applications/Radiation technology,1,20,0.125,0.754716981132076
Use of Data to inform policies,0,Produce new data,Europe,Industrial Applications/Radiation technology,0,33,0.375,0.36
Creation of new Institution,0,Develop new protocols,Europe,Safety and Security,0,172,0.174825174825175,0.616393442622951
Delivery of regulatory activities,0,Develop regulatory frameworks,Europe,Safety and Security,0,172,0.51685393258427,0.731868131868132
Development of education programmes,1,Support professionalization,Europe,Safety and Security,1,172,0.9375,0.864686468646865
Improve quality of services,0,Develop new protocols,Europe,Safety and Security,0,172,0.412587412587413,0.616393442622951
Improve technical Standards,0,Develop new protocols,Europe,Safety and Security,0,172,0.412587412587413,0.616393442622951
Increased use of a new technology,0,Introduce new technologies,Europe,Safety and Security,0,172,0.666666666666667,0.482926829268293
Join Global data Networks,1,Produce new data,Europe,Safety and Security,1,172,0.453333333333333,0.501210653753027
More professionals in the workforce,0,Establish curricula in new profession,Europe,Safety and Security,1,172,0.967741935483871,0.244897959183673
National programmes promoting new technology,0,Introduce new technologies,Europe,Safety and Security,0,172,0.333333333333333,0.482926829268293
Procedures in alignment with international best practices,0,Improve quality of procedures,Europe,Safety and Security,1,172,0.97,0.845637583892617
Safety and security issues are given high priority,0,Develop regulatory frameworks,Europe,Safety and Security,0,172,0.471910112359551,0.731868131868132
The support has not been consolidated yet,0,Develop new protocols,Europe,Safety and Security,1,94,0,0.616393442622951
The support has not been consolidated yet,0,Develop regulatory frameworks,Europe,Safety and Security,1,111,0.0112359550561798,0.731868131868132
The support has not been consolidated yet,0,Establish curricula in new profession,Europe,Safety and Security,1,24,0.032258064516129,0.244897959183673
The support has not been consolidated yet,0,Improve quality of procedures,Europe,Safety and Security,1,126,0.03,0.845637583892617
The support has not been consolidated yet,0,Introduce new technologies,Europe,Safety and Security,1,66,0,0.482926829268293
The support has not been consolidated yet,0,Produce new data,Europe,Safety and Security,1,69,0.0133333333333333,0.501210653753027
The support has not been consolidated yet,0,Support professionalization,Europe,Safety and Security,1,131,0.0625,0.864686468646865
Use of Data to inform policies,0,Produce new data,Europe,Safety and Security,1,172,0.533333333333333,0.501210653753027
Creation of new Institution,0,Develop new protocols,Europe,Water and the Environment,1,36,0.25,0.307692307692308
Delivery of regulatory activities,0,Develop regulatory frameworks,Europe,Water and the Environment,0,36,,0
Development of education programmes,1,Support professionalization,Europe,Water and the Environment,1,36,0.9,0.779661016949153
Improve quality of services,1,Develop new protocols,Europe,Water and the Environment,1,36,0.333333333333333,0.307692307692308
Improve technical Standards,0,Develop new protocols,Europe,Water and the Environment,1,36,0.333333333333333,0.307692307692308
Increased use of a new technology,0,Introduce new technologies,Europe,Water and the Environment,0,36,0.75,0.67741935483871
Join Global data Networks,1,Produce new data,Europe,Water and the Environment,1,36,0.481481481481482,0.726315789473684
More professionals in the workforce,0,Establish curricula in new profession,Europe,Water and the Environment,0,36,1,0.2
National programmes promoting new technology,0,Introduce new technologies,Europe,Water and the Environment,0,36,0.25,0.67741935483871
Procedures in alignment with international best practices,0,Improve quality of procedures,Europe,Water and the Environment,0,36,0.916666666666667,0.690909090909091
Safety and security issues are given high priority,0,Develop regulatory frameworks,Europe,Water and the Environment,0,36,,0
The support has not been consolidated yet,0,Develop new protocols,Europe,Water and the Environment,1,9,0.0833333333333333,0.307692307692308
The support has not been consolidated yet,0,Establish curricula in new profession,Europe,Water and the Environment,1,4,0,0.2
The support has not been consolidated yet,0,Improve quality of procedures,Europe,Water and the Environment,1,19,0.0833333333333333,0.690909090909091
The support has not been consolidated yet,0,Introduce new technologies,Europe,Water and the Environment,1,21,0,0.67741935483871
The support has not been consolidated yet,0,Produce new data,Europe,Water and the Environment,1,23,0,0.726315789473684
The support has not been consolidated yet,0,Support professionalization,Europe,Water and the Environment,1,23,0.1,0.779661016949153
Use of Data to inform policies,0,Produce new data,Europe,Water and the Environment,1,36,0.518518518518519,0.726315789473684
Creation of new Institution,0,Develop new protocols,Latin America and the Caribbean,Energy,0,12,0,0.571428571428571
Delivery of regulatory activities,0,Develop regulatory frameworks,Latin America and the Caribbean,Energy,0,12,,0
Development of education programmes,0,Support professionalization,Latin America and the Caribbean,Energy,1,12,0.5,0.857142857142857
Improve quality of services,0,Develop new protocols,Latin America and the Caribbean,Energy,0,12,0.333333333333333,0.571428571428571
Improve technical Standards,0,Develop new protocols,Latin America and the Caribbean,Energy,0,12,0.666666666666667,0.571428571428571
Increased use of a new technology,0,Introduce new technologies,Latin America and the Caribbean,Energy,0,12,0.714285714285714,0.6
Join Global data Networks,0,Produce new data,Latin America and the Caribbean,Energy,0,12,0.333333333333333,0.67741935483871
More professionals in the workforce,1,Establish curricula in new profession,Latin America and the Caribbean,Energy,0,12,1,0
National programmes promoting new technology,0,Introduce new technologies,Latin America and the Caribbean,Energy,0,12,0.285714285714286,0.6
Procedures in alignment with international best practices,0,Improve quality of procedures,Latin America and the Caribbean,Energy,0,12,0.8,0.5
Safety and security issues are given high priority,0,Develop regulatory frameworks,Latin America and the Caribbean,Energy,0,12,,0
The support has not been consolidated yet,0,Develop new protocols,Latin America and the Caribbean,Energy,1,6,0,0.571428571428571
The support has not been consolidated yet,0,Improve quality of procedures,Latin America and the Caribbean,Energy,1,4,0.2,0.5
The support has not been consolidated yet,0,Introduce new technologies,Latin America and the Caribbean,Energy,1,6,0,0.6
The support has not been consolidated yet,0,Produce new data,Latin America and the Caribbean,Energy,1,7,0.111111111111111,0.67741935483871
The support has not been consolidated yet,0,Support professionalization,Latin America and the Caribbean,Energy,1,9,0.5,0.857142857142857
Use of Data to inform policies,0,Produce new data,Latin America and the Caribbean,Energy,0,12,0.555555555555556,0.67741935483871
Creation of new Institution,1,Develop new protocols,Latin America and the Caribbean,Food and Agriculture,1,102,0.114942528735632,0.727272727272727
Delivery of regulatory activities,0,Develop regulatory frameworks,Latin America and the Caribbean,Food and Agriculture,0,102,,0
Development of education programmes,1,Support professionalization,Latin America and the Caribbean,Food and Agriculture,1,102,0.685714285714286,0.879120879120879
Improve quality of services,1,Develop new protocols,Latin America and the Caribbean,Food and Agriculture,1,102,0.379310344827586,0.727272727272727
Improve technical Standards,0,Develop new protocols,Latin America and the Caribbean,Food and Agriculture,1,102,0.436781609195402,0.727272727272727
Increased use of a new technology,1,Introduce new technologies,Latin America and the Caribbean,Food and Agriculture,1,102,0.611111111111111,0.782608695652174
Join Global data Networks,0,Produce new data,Latin America and the Caribbean,Food and Agriculture,1,102,0.456521739130435,0.542168674698795
More professionals in the workforce,1,Establish curricula in new profession,Latin America and the Caribbean,Food and Agriculture,1,102,0.875,0.210526315789474
National programmes promoting new technology,0,Introduce new technologies,Latin America and the Caribbean,Food and Agriculture,1,102,0.333333333333333,0.782608695652174
Procedures in alignment with international best practices,1,Improve quality of procedures,Latin America and the Caribbean,Food and Agriculture,1,102,0.88,0.700636942675159
Safety and security issues are given high priority,0,Develop regulatory frameworks,Latin America and the Caribbean,Food and Agriculture,0,102,,0
The support has not been consolidated yet,0,Develop new protocols,Latin America and the Caribbean,Food and Agriculture,1,68,0.0689655172413793,0.727272727272727
The support has not been consolidated yet,0,Establish curricula in new profession,Latin America and the Caribbean,Food and Agriculture,1,12,0.125,0.210526315789474
The support has not been consolidated yet,0,Improve quality of procedures,Latin America and the Caribbean,Food and Agriculture,1,55,0.12,0.700636942675159
The support has not been consolidated yet,0,Introduce new technologies,Latin America and the Caribbean,Food and Agriculture,1,72,0.0555555555555556,0.782608695652174
The support has not been consolidated yet,0,Produce new data,Latin America and the Caribbean,Food and Agriculture,1,45,0.0869565217391304,0.542168674698795
The support has not been consolidated yet,0,Support professionalization,Latin America and the Caribbean,Food and Agriculture,1,80,0.314285714285714,0.879120879120879
Use of Data to inform policies,0,Produce new data,Latin America and the Caribbean,Food and Agriculture,1,102,0.456521739130435,0.542168674698795
Creation of new Institution,0,Develop new protocols,Latin America and the Caribbean,Health and Nutrition,1,99,0.212389380530973,0.653521126760563
Delivery of regulatory activities,0,Develop regulatory frameworks,Latin America and the Caribbean,Health and Nutrition,0,99,,0
Development of education programmes,1,Support professionalization,Latin America and the Caribbean,Health and Nutrition,1,99,0.810810810810811,0.835294117647059
Improve quality of services,1,Develop new protocols,Latin America and the Caribbean,Health and Nutrition,1,99,0.407079646017699,0.653521126760563
Improve technical Standards,1,Develop new protocols,Latin America and the Caribbean,Health and Nutrition,1,99,0.353982300884956,0.653521126760563
Increased use of a new technology,1,Introduce new technologies,Latin America and the Caribbean,Health and Nutrition,1,99,0.617977528089888,0.758490566037736
Join Global data Networks,0,Produce new data,Latin America and the Caribbean,Health and Nutrition,1,99,0.375,0.493670886075949
More professionals in the workforce,1,Establish curricula in new profession,Latin America and the Caribbean,Health and Nutrition,1,99,0.935483870967742,0.35
National programmes promoting new technology,1,Introduce new technologies,Latin America and the Caribbean,Health and Nutrition,1,99,0.325842696629214,0.758490566037736
Procedures in alignment with international best practices,1,Improve quality of procedures,Latin America and the Caribbean,Health and Nutrition,1,99,0.866666666666667,0.862068965517241
Safety and security issues are given high priority,0,Develop regulatory frameworks,Latin America and the Caribbean,Health and Nutrition,0,99,,0
The support has not been consolidated yet,0,Develop new protocols,Latin America and the Caribbean,Health and Nutrition,1,58,0.0265486725663717,0.653521126760563
The support has not been consolidated yet,0,Establish curricula in new profession,Latin America and the Caribbean,Health and Nutrition,1,21,0.0645161290322581,0.35
The support has not been consolidated yet,0,Improve quality of procedures,Latin America and the Caribbean,Health and Nutrition,1,75,0.133333333333333,0.862068965517241
The support has not been consolidated yet,0,Introduce new technologies,Latin America and the Caribbean,Health and Nutrition,1,67,0.0561797752808989,0.758490566037736
The support has not been consolidated yet,0,Produce new data,Latin America and the Caribbean,Health and Nutrition,1,39,0.1,0.493670886075949
The support has not been consolidated yet,0,Support professionalization,Latin America and the Caribbean,Health and Nutrition,1,71,0.189189189189189,0.835294117647059
Use of Data to inform policies,1,Produce new data,Latin America and the Caribbean,Health and Nutrition,1,99,0.525,0.493670886075949
Creation of new Institution,0,Develop new protocols,Latin America and the Caribbean,Industrial Applications/Radiation technology,0,40,0.28,0.33587786259542
Delivery of regulatory activities,0,Develop regulatory frameworks,Latin America and the Caribbean,Industrial Applications/Radiation technology,0,40,,0
Development of education programmes,0,Support professionalization,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,40,0.777777777777778,0.787878787878788
Improve quality of services,0,Develop new protocols,Latin America and the Caribbean,Industrial Applications/Radiation technology,0,40,0.36,0.33587786259542
Improve technical Standards,0,Develop new protocols,Latin America and the Caribbean,Industrial Applications/Radiation technology,0,40,0.36,0.33587786259542
Increased use of a new technology,1,Introduce new technologies,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,40,0.6875,0.757009345794393
Join Global data Networks,0,Produce new data,Latin America and the Caribbean,Industrial Applications/Radiation technology,0,40,0.545454545454545,0.362637362637363
More professionals in the workforce,0,Establish curricula in new profession,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,40,0.75,0.181818181818182
National programmes promoting new technology,0,Introduce new technologies,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,40,0.28125,0.757009345794393
Procedures in alignment with international best practices,0,Improve quality of procedures,Latin America and the Caribbean,Industrial Applications/Radiation technology,0,40,0.888888888888889,0.709677419354839
Safety and security issues are given high priority,0,Develop regulatory frameworks,Latin America and the Caribbean,Industrial Applications/Radiation technology,0,40,,0
The support has not been consolidated yet,0,Develop new protocols,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,11,0,0.33587786259542
The support has not been consolidated yet,1,Establish curricula in new profession,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,4,0.25,0.181818181818182
The support has not been consolidated yet,1,Improve quality of procedures,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,22,0.111111111111111,0.709677419354839
The support has not been consolidated yet,1,Introduce new technologies,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,27,0.03125,0.757009345794393
The support has not been consolidated yet,0,Produce new data,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,11,0,0.362637362637363
The support has not been consolidated yet,1,Support professionalization,Latin America and the Caribbean,Industrial Applications/Radiation technology,1,26,0.222222222222222,0.787878787878788
Use of Data to inform policies,0,Produce new data,Latin America and the Caribbean,Industrial Applications/Radiation technology,0,40,0.454545454545455,0.362637362637363
Creation of new Institution,1,Develop new protocols,Latin America and the Caribbean,Safety and Security,1,80,0.138461538461538,0.666666666666667
Delivery of regulatory activities,1,Develop regulatory frameworks,Latin America and the Caribbean,Safety and Security,1,80,0.51948051948052,0.746478873239437
Development of education programmes,1,Support professionalization,Latin America and the Caribbean,Safety and Security,1,80,0.96875,0.832116788321168
Improve quality of services,1,Develop new protocols,Latin America and the Caribbean,Safety and Security,1,80,0.384615384615385,0.666666666666667
Improve technical Standards,1,Develop new protocols,Latin America and the Caribbean,Safety and Security,1,80,0.446153846153846,0.666666666666667
Increased use of a new technology,1,Introduce new technologies,Latin America and the Caribbean,Safety and Security,1,80,0.666666666666667,0.563451776649746
Join Global data Networks,0,Produce new data,Latin America and the Caribbean,Safety and Security,1,80,0.285714285714286,0.333333333333333
More professionals in the workforce,1,Establish curricula in new profession,Latin America and the Caribbean,Safety and Security,1,80,1,0.222222222222222
National programmes promoting new technology,1,Introduce new technologies,Latin America and the Caribbean,Safety and Security,1,80,0.333333333333333,0.563451776649746
Procedures in alignment with international best practices,1,Improve quality of procedures,Latin America and the Caribbean,Safety and Security,1,80,0.928571428571429,0.840579710144928
Safety and security issues are given high priority,1,Develop regulatory frameworks,Latin America and the Caribbean,Safety and Security,1,80,0.467532467532468,0.746478873239437
The support has not been consolidated yet,0,Develop new protocols,Latin America and the Caribbean,Safety and Security,1,48,0.0307692307692308,0.666666666666667
The support has not been consolidated yet,0,Develop regulatory frameworks,Latin America and the Caribbean,Safety and Security,1,53,0.012987012987013,0.746478873239437
The support has not been consolidated yet,0,Establish curricula in new profession,Latin America and the Caribbean,Safety and Security,1,10,0,0.222222222222222
The support has not been consolidated yet,0,Improve quality of procedures,Latin America and the Caribbean,Safety and Security,1,58,0.0714285714285714,0.840579710144928
The support has not been consolidated yet,0,Introduce new technologies,Latin America and the Caribbean,Safety and Security,1,37,0,0.563451776649746
The support has not been consolidated yet,0,Produce new data,Latin America and the Caribbean,Safety and Security,1,20,0.0714285714285714,0.333333333333333
The support has not been consolidated yet,0,Support professionalization,Latin America and the Caribbean,Safety and Security,1,57,0.03125,0.832116788321168
Use of Data to inform policies,0,Produce new data,Latin America and the Caribbean,Safety and Security,1,80,0.642857142857143,0.333333333333333
Creation of new Institution,0,Develop new protocols,Latin America and the Caribbean,Water and the Environment,1,54,0.222222222222222,0.607329842931937
Delivery of regulatory activities,0,Develop regulatory frameworks,Latin America and the Caribbean,Water and the Environment,0,54,,0
Development of education programmes,1,Support professionalization,Latin America and the Caribbean,Water and the Environment,1,54,0.666666666666667,0.772727272727273
Improve quality of services,1,Develop new protocols,Latin America and the Caribbean,Water and the Environment,1,54,0.422222222222222,0.607329842931937
Improve technical Standards,0,Develop new protocols,Latin America and the Caribbean,Water and the Environment,1,54,0.333333333333333,0.607329842931937
Increased use of a new technology,0,Introduce new technologies,Latin America and the Caribbean,Water and the Environment,0,54,0.714285714285714,0.780821917808219
Join Global data Networks,0,Produce new data,Latin America and the Caribbean,Water and the Environment,0,54,0.378378378378378,0.685714285714286
More professionals in the workforce,0,Establish curricula in new profession,Latin America and the Caribbean,Water and the Environment,0,54,1,0.137931034482759
National programmes promoting new technology,0,Introduce new technologies,Latin America and the Caribbean,Water and the Environment,0,54,0.261904761904762,0.780821917808219
Procedures in alignment with international best practices,1,Improve quality of procedures,Latin America and the Caribbean,Water and the Environment,1,54,0.875,0.666666666666667
Safety and security issues are given high priority,0,Develop regulatory frameworks,Latin America and the Caribbean,Water and the Environment,0,54,,0
The support has not been consolidated yet,0,Develop new protocols,Latin America and the Caribbean,Water and the Environment,1,29,0.0222222222222222,0.607329842931937
The support has not been consolidated yet,0,Establish curricula in new profession,Latin America and the Caribbean,Water and the Environment,1,4,0,0.137931034482759
The support has not been consolidated yet,0,Improve quality of procedures,Latin America and the Caribbean,Water and the Environment,1,27,0.125,0.666666666666667
The support has not been consolidated yet,0,Introduce new technologies,Latin America and the Caribbean,Water and the Environment,1,38,0.0238095238095238,0.780821917808219
The support has not been consolidated yet,0,Produce new data,Latin America and the Caribbean,Water and the Environment,1,32,0.0540540540540541,0.685714285714286
The support has not been consolidated yet,0,Support professionalization,Latin America and the Caribbean,Water and the Environment,1,34,0.333333333333333,0.772727272727273
Use of Data to inform policies,0,Produce new data,Latin America and the Caribbean,Water and the Environment,0,54,0.567567567567568,0.685714285714286
The support has not been consolidated yet,0,,,,,38,1,
