id,country,theme,foa,when,achieved,level,indicator,region,improvement,foa_nlo1_effectiveness,id_outcome
A653,Fiji,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Introduce new technologies,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A654,Fiji,FOOD and AGRICULTURE,Crop production,,0,outcome,New profession recognized,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A654,Fiji,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Curricula in new professions,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A655,Fiji,FOOD and AGRICULTURE,Crop production,,0,outcome,Use of data to inform policies,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A655,Fiji,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Produce data to inform policies,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A656,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Adoption of regulatory frameworks,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A656,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Develop regulatory frameworks,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A657,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Creation of new Institution,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A657,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Upgraded institutions,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A658,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Increased used of new technologies,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A658,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Introduce new technologies,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A659,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,outcome,New profession recognized,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A659,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Curricula in new professions,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A660,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Use of data to inform policies,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A660,Fiji,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Produce data to inform policies,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A661,Fiji,FOOD and AGRICULTURE,Food safety,,0,outcome,Adoption of regulatory frameworks,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A661,Fiji,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Develop regulatory frameworks,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A662,Fiji,FOOD and AGRICULTURE,Food safety,,0,outcome,Creation of new Institution,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A662,Fiji,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Upgraded institutions,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A663,Fiji,FOOD and AGRICULTURE,Food safety,,0,outcome,Increased used of new technologies,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A663,Fiji,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Introduce new technologies,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A664,Fiji,FOOD and AGRICULTURE,Food safety,,0,outcome,New profession recognized,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A664,Fiji,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Curricula in new professions,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A665,Fiji,FOOD and AGRICULTURE,Food safety,,0,outcome,Use of data to inform policies,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A665,Fiji,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Produce data to inform policies,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A666,Fiji,FOOD and AGRICULTURE,Livestock production,,0,outcome,Adoption of regulatory frameworks,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A666,Fiji,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Develop regulatory frameworks,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A667,Fiji,FOOD and AGRICULTURE,Livestock production,,0,outcome,Creation of new Institution,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A667,Fiji,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Upgraded institutions,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A668,Fiji,FOOD and AGRICULTURE,Livestock production,,0,outcome,Increased used of new technologies,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A668,Fiji,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Introduce new technologies,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A669,Fiji,FOOD and AGRICULTURE,Livestock production,,0,outcome,New profession recognized,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A669,Fiji,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Curricula in new professions,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A670,Fiji,FOOD and AGRICULTURE,Livestock production,,0,outcome,Use of data to inform policies,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
A670,Fiji,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Produce data to inform policies,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
A671,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Adoption of regulatory frameworks,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A671,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Develop regulatory frameworks,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A672,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Creation of new Institution,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
A672,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Upgraded institutions,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
A673,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Increased used of new technologies,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Introduce new technologies
A673,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Introduce new technologies,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Introduce new technologies
A674,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,New profession recognized,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Curricula in new professions
A674,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Curricula in new professions,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Curricula in new professions
A675,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Use of data to inform policies,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Produce data to inform policies
A675,Fiji,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Produce data to inform policies,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Produce data to inform policies
A676,Gambia,FOOD and AGRICULTURE,Crop production,,0,outcome,Adoption of regulatory frameworks,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A676,Gambia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Develop regulatory frameworks,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A677,Gambia,FOOD and AGRICULTURE,Crop production,,0,outcome,Creation of new Institution,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A677,Gambia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Upgraded institutions,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A678,Gambia,FOOD and AGRICULTURE,Crop production,,0,outcome,Increased used of new technologies,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A678,Gambia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Introduce new technologies,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A679,Gambia,FOOD and AGRICULTURE,Crop production,,0,outcome,New profession recognized,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A679,Gambia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Curricula in new professions,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A680,Gambia,FOOD and AGRICULTURE,Crop production,,0,outcome,Use of data to inform policies,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A680,Gambia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Produce data to inform policies,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A681,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Adoption of regulatory frameworks,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A681,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Develop regulatory frameworks,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A682,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Creation of new Institution,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A682,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Upgraded institutions,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A683,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Increased used of new technologies,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A683,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Introduce new technologies,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A684,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,New profession recognized,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A684,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Curricula in new professions,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A685,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Use of data to inform policies,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A685,Gambia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Produce data to inform policies,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A686,Gambia,FOOD and AGRICULTURE,Food safety,,0,outcome,Adoption of regulatory frameworks,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A686,Gambia,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Develop regulatory frameworks,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A687,Gambia,FOOD and AGRICULTURE,Food safety,,0,outcome,Creation of new Institution,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A687,Gambia,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Upgraded institutions,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A688,Gambia,FOOD and AGRICULTURE,Food safety,,0,outcome,Increased used of new technologies,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A688,Gambia,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Introduce new technologies,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A689,Gambia,FOOD and AGRICULTURE,Food safety,,0,outcome,New profession recognized,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A689,Gambia,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Curricula in new professions,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A690,Gambia,FOOD and AGRICULTURE,Food safety,,0,outcome,Use of data to inform policies,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A690,Gambia,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Produce data to inform policies,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A691,Gambia,FOOD and AGRICULTURE,Livestock production,,0,outcome,Adoption of regulatory frameworks,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A691,Gambia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Develop regulatory frameworks,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A692,Gambia,FOOD and AGRICULTURE,Livestock production,,0,outcome,Creation of new Institution,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A692,Gambia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Upgraded institutions,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A693,Gambia,FOOD and AGRICULTURE,Livestock production,,0,outcome,Increased used of new technologies,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A693,Gambia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Introduce new technologies,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A694,Gambia,FOOD and AGRICULTURE,Livestock production,,0,outcome,New profession recognized,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A694,Gambia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Curricula in new professions,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A695,Gambia,FOOD and AGRICULTURE,Livestock production,,0,outcome,Use of data to inform policies,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
A695,Gambia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Produce data to inform policies,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
A696,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Adoption of regulatory frameworks,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A696,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Develop regulatory frameworks,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A697,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Creation of new Institution,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
A697,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Upgraded institutions,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
A698,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Increased used of new technologies,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Introduce new technologies
A698,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Introduce new technologies,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Introduce new technologies
A699,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,New profession recognized,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Curricula in new professions
A699,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Curricula in new professions,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Curricula in new professions
A700,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Use of data to inform policies,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Produce data to inform policies
A700,Gambia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Produce data to inform policies,Africa,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Produce data to inform policies
A701,Georgia,FOOD and AGRICULTURE,Crop production,,0,outcome,Adoption of regulatory frameworks,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A701,Georgia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Develop regulatory frameworks,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A702,Georgia,FOOD and AGRICULTURE,Crop production,,0,outcome,Creation of new Institution,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A702,Georgia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Upgraded institutions,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A703,Georgia,FOOD and AGRICULTURE,Crop production,,0,outcome,Increased used of new technologies,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A703,Georgia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Introduce new technologies,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A704,Georgia,FOOD and AGRICULTURE,Crop production,,0,outcome,New profession recognized,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A704,Georgia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Curricula in new professions,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A705,Georgia,FOOD and AGRICULTURE,Crop production,,0,outcome,Use of data to inform policies,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A705,Georgia,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Produce data to inform policies,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A706,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Adoption of regulatory frameworks,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A706,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Develop regulatory frameworks,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A707,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Creation of new Institution,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A707,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Upgraded institutions,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A708,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Increased used of new technologies,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A708,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Introduce new technologies,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A709,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,New profession recognized,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A709,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Curricula in new professions,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A710,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Use of data to inform policies,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A710,Georgia,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Produce data to inform policies,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A711,Georgia,FOOD and AGRICULTURE,Food safety,2020-2023,1,outcome,Adoption of regulatory frameworks,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A711,Georgia,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Develop regulatory frameworks,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A712,Georgia,FOOD and AGRICULTURE,Food safety,,0,outcome,Creation of new Institution,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A712,Georgia,FOOD and AGRICULTURE,Food safety,2020-2023,1,int_outcome,Upgraded institutions,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A713,Georgia,FOOD and AGRICULTURE,Food safety,2020-2023,1,outcome,Increased used of new technologies,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A713,Georgia,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Introduce new technologies,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A714,Georgia,FOOD and AGRICULTURE,Food safety,,0,outcome,New profession recognized,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A714,Georgia,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Curricula in new professions,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A715,Georgia,FOOD and AGRICULTURE,Food safety,,0,outcome,Use of data to inform policies,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A715,Georgia,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Produce data to inform policies,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A716,Georgia,FOOD and AGRICULTURE,Livestock production,,0,outcome,Adoption of regulatory frameworks,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A716,Georgia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Develop regulatory frameworks,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A717,Georgia,FOOD and AGRICULTURE,Livestock production,,0,outcome,Creation of new Institution,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A717,Georgia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Upgraded institutions,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A718,Georgia,FOOD and AGRICULTURE,Livestock production,,0,outcome,Increased used of new technologies,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A718,Georgia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Introduce new technologies,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A719,Georgia,FOOD and AGRICULTURE,Livestock production,,0,outcome,New profession recognized,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A719,Georgia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Curricula in new professions,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A720,Georgia,FOOD and AGRICULTURE,Livestock production,,0,outcome,Use of data to inform policies,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
A720,Georgia,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Produce data to inform policies,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
A721,Georgia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Adoption of regulatory frameworks,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A721,Georgia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Develop regulatory frameworks,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A722,Georgia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,outcome,Creation of new Institution,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
A722,Georgia,FOOD and AGRICULTURE,Agricultural water and soil management,,0,int_outcome,Upgraded institutions,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
